1er jour de la semaine;Semaine;Classe d'âge;Taux de passages aux urgences pour grippe;Taux d'hospitalisations après passages aux urgences pour grippe;Taux d'actes médicaux SOS médecins pour grippe
2020-11-23;2020-S48;15-64 ans;58.592796341;33.435231181;388.79473632
2020-11-23;2020-S48;65 ans ou plus;10.30555985;17.472742522;170.23833367
2020-11-23;2020-S48;Tous âges;47.944071062;29.247248931;306.28962177
2020-11-30;2020-S49;15-64 ans;59.858144398;14.595699134;562.98149733
2020-12-07;2020-S50;Tous âges;51.644583668;25.216138329;446.54226871
2020-12-21;2020-S52;15-64 ans;72.045519669;25.418128209;547.49172396
2020-12-21;2020-S52;65 ans ou plus;24.105679298;21.288674425;127.76491256
2020-12-28;2020-S53;00-04 ans;153.05916945;71.301247772;243.11183144
2020-12-28;2020-S53;15-64 ans;77.476230593;23.464263926;516.08120438
2020-12-28;2020-S53;65 ans ou plus;34.736381073;43.047783039;195.92192149
2021-01-04;2021-S01;05-14 ans;51.096611902;41.841004184;564.03450564
2021-01-11;2021-S02;00-04 ans;88.409885067;33.738191633;357.01535166
2021-01-11;2021-S02;15-64 ans;79.241079772;77.307867212;777.61914887
2021-01-18;2021-S03;00-04 ans;163.08484036;29.664787897;349.52813702
2021-01-18;2021-S03;15-64 ans;66.528735296;26.854048248;766.10949612
2021-01-18;2021-S03;65 ans ou plus;30.495242742;35.046356772;218.40281075
2021-01-18;2021-S03;Tous âges;63.969108736;30.222132675;590.05976246
2021-01-25;2021-S04;00-04 ans;116.89472599;57.703404501;302.96909715
2021-01-25;2021-S04;05-14 ans;88.59279209;81.4000814;681.90428084
2021-01-25;2021-S04;15-64 ans;88.246569595;21.887585362;848.50993377
2021-01-25;2021-S04;65 ans ou plus;28.546959749;35.972399359;137.48404203
2021-01-25;2021-S04;Tous âges;76.950442368;33.701238521;604.3996741
2021-02-08;2021-S06;15-64 ans;83.747214495;26.24557106;830.82017622
2021-02-15;2021-S07;Tous âges;72.235599185;26.031074595;457.89801626
2021-02-22;2021-S08;00-04 ans;101.20836656;50.890585242;227.22275159
2021-02-22;2021-S08;05-14 ans;60.413834768;0.0;579.5235029
2021-03-01;2021-S09;00-04 ans;71.864893999;0.0;187.39751698
2021-03-01;2021-S09;05-14 ans;54.351518446;0.0;329.9340132
2021-03-08;2021-S10;05-14 ans;54.557027248;0.0;326.87955746
2021-03-08;2021-S10;Tous âges;60.503431511;20.941733653;488.14095986
2021-03-15;2021-S11;05-14 ans;63.541576409;0.0;346.40741982
2021-03-15;2021-S11;65 ans ou plus;16.694490818;12.833675565;249.40143655
2021-03-22;2021-S12;15-64 ans;78.008107728;46.748996844;708.3557646
2021-03-22;2021-S12;Tous âges;68.300293624;50.764544811;475.48869672
2021-03-29;2021-S13;65 ans ou plus;19.892580068;18.355921314;131.95098963
2021-04-05;2021-S14;00-04 ans;42.897589155;0.0;144.12188594
2021-04-05;2021-S14;05-14 ans;41.2984224;85.543199316;311.91515908
2021-04-12;2021-S15;15-64 ans;58.439919778;19.554165037;420.66246985
2021-04-12;2021-S15;Tous âges;44.554911166;18.899125915;325.58298104
2021-04-19;2021-S16;65 ans ou plus;14.348849222;9.3242991235;97.181729835
2021-04-26;2021-S17;15-64 ans;44.718601623;19.895746289;276.56070352
2021-05-03;2021-S18;65 ans ou plus;13.405424729;16.377870222;123.30456227
2021-05-10;2021-S19;05-14 ans;28.603209916;0.0;176.13386173
2021-05-10;2021-S19;15-64 ans;41.135591636;16.40218149;240.12349208
2021-05-10;2021-S19;65 ans ou plus;11.791931371;10.103391372;95.147478592
2021-05-17;2021-S20;65 ans ou plus;11.497722014;9.8193244305;95.18370455
2021-05-17;2021-S20;Tous âges;32.059670243;11.055831951;252.2783892
2021-05-31;2021-S22;05-14 ans;20.438287726;30.15681544;248.55012428
2021-06-07;2021-S23;00-04 ans;31.708512294;23.702299123;59.29690809
2021-06-07;2021-S23;65 ans ou plus;6.8918937546;3.2621105855;29.658922392
2021-06-07;2021-S23;Tous âges;23.006881417;7.7615647314;174.05518306
2021-06-21;2021-S25;00-04 ans;27.204962185;48.567265663;90.015752757
2021-06-21;2021-S25;05-14 ans;14.66992665;0.0;217.19688259
2021-06-21;2021-S25;Tous âges;27.026233072;11.12736059;213.06296378
2021-06-28;2021-S26;15-64 ans;40.292253143;7.8737057596;330.5694058
2021-07-05;2021-S27;00-04 ans;47.632909048;48.828125;121.94247185
2021-07-05;2021-S27;05-14 ans;21.683910538;0.0;359.66048051
2021-07-05;2021-S27;15-64 ans;41.816690833;20.062595297;399.35885245
2021-07-12;2021-S28;00-04 ans;47.693489839;50.05005005;178.39137516
2021-07-12;2021-S28;15-64 ans;67.439409905;20.263424519;568.70112725
2021-07-26;2021-S30;05-14 ans;29.449298125;0.0;190.17980636
2021-07-26;2021-S30;15-64 ans;72.589784163;15.588464536;402.18705641
2021-08-02;2021-S31;65 ans ou plus;12.316282125;6.9468565474;71.626824246
2021-08-09;2021-S32;00-04 ans;27.48196496;65.274151436;65.03007641
2021-08-09;2021-S32;05-14 ans;45.451367037;0.0;199.00497512
2021-08-09;2021-S32;65 ans ou plus;18.254599507;13.138446379;124.88849242
2021-08-09;2021-S32;Tous âges;45.301599303;17.893743697;285.28112417
2021-08-30;2021-S35;00-04 ans;32.653653581;33.123550845;115.5234657
2021-08-30;2021-S35;05-14 ans;40.514534589;0.0;190.01554673
2021-08-30;2021-S35;15-64 ans;56.181037776;8.0742834073;360.39214698
2021-09-06;2021-S36;05-14 ans;59.152505915;0.0;237.06596012
2021-09-06;2021-S36;15-64 ans;50.25851053;27.564481197;385.0209677
2021-09-06;2021-S36;Tous âges;41.877317667;24.111103967;275.0210995
2021-09-13;2021-S37;00-04 ans;34.844139484;24.313153416;140.17599875
2021-09-13;2021-S37;05-14 ans;40.394439824;0.0;300.3647286
2021-09-13;2021-S37;65 ans ou plus;12.733806842;17.068924316;135.90033975
2021-09-13;2021-S37;Tous âges;52.501644363;19.404915912;351.47715398
2021-09-20;2021-S38;00-04 ans;60.88650755;47.732696897;222.22222222
2021-09-20;2021-S38;05-14 ans;59.768740948;91.019417476;455.72916667
2021-09-20;2021-S38;15-64 ans;84.285097008;27.979854505;585.19229419
2021-09-27;2021-S39;Tous âges;71.338306632;22.336742346;514.68590576
2021-10-04;2021-S40;Tous âges;73.48048717;26.738388462;466.69441606
2021-10-11;2021-S41;05-14 ans;81.851666591;0.0;434.06964406
2021-10-11;2021-S41;15-64 ans;116.16912063;16.357911095;723.41896095
2021-10-18;2021-S42;00-04 ans;120.20606754;109.28961749;249.31438544
2021-10-18;2021-S42;15-64 ans;127.62344594;28.81014117;999.07493062
2021-10-18;2021-S42;65 ans ou plus;36.167818679;28.247700951;221.35416667
2021-10-18;2021-S42;Tous âges;100.41268198;34.175819055;671.29545482
2021-10-25;2021-S43;00-04 ans;72.964739789;66.856092261;187.2659176
2021-11-01;2021-S44;05-14 ans;124.18620404;44.130626655;444.44444444
2021-11-01;2021-S44;65 ans ou plus;34.232975941;16.209031672;401.99913081
2021-11-08;2021-S45;05-14 ans;116.64772387;38.505968425;887.54072576
2021-11-15;2021-S46;15-64 ans;168.56276285;29.860933367;1595.3589558
2021-11-15;2021-S46;65 ans ou plus;43.013736645;34.913984638;417.12673292
2021-11-15;2021-S46;Tous âges;154.26977478;50.436591747;1137.5485828
2021-11-22;2021-S47;00-04 ans;344.67738575;328.79988044;525.79691094
2021-11-22;2021-S47;Tous âges;203.74910264;83.666449754;1409.8071523
2021-11-29;2021-S48;15-64 ans;269.63340228;119.93489249;2471.4658039
2021-11-29;2021-S48;65 ans ou plus;63.746965238;42.917139266;732.45952197
2021-12-06;2021-S49;05-14 ans;708.57992092;751.87969925;2158.880081
2021-12-06;2021-S49;15-64 ans;268.50962782;100.95061832;2698.6905369
2021-12-13;2021-S50;15-64 ans;356.38294754;200.21690164;2986.2038273
2021-12-13;2021-S50;65 ans ou plus;105.36110123;99.586095291;758.59537502
2021-12-20;2021-S51;00-04 ans;2580.9579213;1749.1800718;2330.6023029
2021-12-20;2021-S51;05-14 ans;2269.1099049;1261.5235323;4559.0165891
2022-01-03;2022-S01;00-04 ans;1603.2117409;1447.7977162;2182.5740516
2022-01-03;2022-S01;05-14 ans;1022.404544;388.95371451;3416.4070613
2022-01-03;2022-S01;65 ans ou plus;180.08503263;221.23241202;1016.7597765
2022-01-03;2022-S01;Tous âges;564.58262905;300.97704105;3380.6363551
2022-01-10;2022-S02;15-64 ans;335.56437203;196.62803832;4144.7850194
2022-01-24;2022-S04;00-04 ans;2045.0253454;1350.6114254;2616.079989
2022-01-31;2022-S05;05-14 ans;1277.1322078;862.06896552;5187.3489122
2022-01-31;2022-S05;15-64 ans;280.53580019;163.83112791;4108.9576154
2022-01-31;2022-S05;65 ans ou plus;151.65901778;195.92127527;993.37748344
2022-01-31;2022-S05;Tous âges;654.89294191;371.21212121;3785.431271
2022-02-07;2022-S06;05-14 ans;1396.1253922;976.9713887;6178.6841466
2022-02-07;2022-S06;15-64 ans;258.85377932;267.99547758;4204.0302267
2022-02-07;2022-S06;Tous âges;688.63748155;394.30248197;3982.0166988
2022-02-14;2022-S07;00-04 ans;2883.2612724;1994.1986947;4790.8473364
2022-02-14;2022-S07;15-64 ans;290.98183637;193.830419;4643.7190398
2022-02-21;2022-S08;00-04 ans;2586.8440503;1934.9990607;4639.3088553
2022-02-21;2022-S08;Tous âges;702.99934339;401.14525439;5454.0319633
2022-02-28;2022-S09;05-14 ans;1631.7519737;1116.6253102;9879.8397864
2022-02-28;2022-S09;65 ans ou plus;239.3489708;347.50800183;1726.148822
2022-02-28;2022-S09;Tous âges;881.64363772;535.36419846;7078.8070314
2022-03-07;2022-S10;05-14 ans;2660.192125;1879.5888399;14101.243761
2022-03-07;2022-S10;15-64 ans;777.09392561;596.18441971;11786.359681
2022-03-07;2022-S10;65 ans ou plus;458.36615063;618.47003723;2416.3568773
2022-03-14;2022-S11;15-64 ans;1058.3424097;783.35087104;14880.517352
2022-03-21;2022-S12;00-04 ans;6534.2778616;3658.5365854;13517.638082
2022-03-28;2022-S13;05-14 ans;5124.6192456;2929.2343387;24189.29688
2022-03-28;2022-S13;65 ans ou plus;1119.342989;1538.9547932;4751.6970347
2022-03-28;2022-S13;Tous âges;2557.2314524;1698.3438601;17040.008044
2022-04-04;2022-S14;00-04 ans;6882.3564677;4724.6829946;15222.00278
2022-04-04;2022-S14;Tous âges;2672.439733;1784.318833;18120.709009
2022-04-11;2022-S15;00-04 ans;5606.3350322;3518.9481825;11267.787007
2022-04-11;2022-S15;15-64 ans;1166.6571563;830.13796102;13794.269483
2022-04-18;2022-S16;65 ans ou plus;748.33532315;1031.7961676;3417.903303
2022-04-25;2022-S17;Tous âges;596.91519902;430.77585809;4853.6175805
2022-05-02;2022-S18;00-04 ans;920.97184458;583.4601725;2546.7962563
2022-05-02;2022-S18;Tous âges;299.66389837;190.9160893;3640.4160475
2022-05-16;2022-S20;00-04 ans;326.39424313;283.28611898;1312.1446275
2022-05-16;2022-S20;05-14 ans;243.26705743;164.97113005;2510.6837607
2022-05-23;2022-S21;00-04 ans;226.77997358;98.11135639;865.40789155
2022-05-30;2022-S22;15-64 ans;145.6980727;57.330683382;2126.9610487
2022-05-30;2022-S22;65 ans ou plus;22.958012346;18.389113645;672.67006618
2022-05-30;2022-S22;Tous âges;129.55452109;51.343229489;1635.1926365
2022-06-13;2022-S24;00-04 ans;167.34980961;69.995333644;662.16395179
2022-06-20;2022-S25;00-04 ans;155.04936498;67.099082979;531.91489362
2022-06-20;2022-S25;15-64 ans;134.39099532;22.586109543;1705.8278492
2022-06-20;2022-S25;Tous âges;116.99064075;28.476364617;1295.9913517
2022-06-27;2022-S26;00-04 ans;129.08877158;67.400584138;698.65541788
2022-06-27;2022-S26;05-14 ans;158.91463675;64.35006435;1432.819681
2022-06-27;2022-S26;15-64 ans;171.98370028;40.176777822;1719.1509214
2022-06-27;2022-S26;Tous âges;135.81363569;35.70818649;1364.5347659
2022-07-11;2022-S28;15-64 ans;130.00349037;44.263812321;1289.4302414
2022-07-18;2022-S29;05-14 ans;130.1043792;74.432452549;722.5433526
2022-07-18;2022-S29;15-64 ans;110.30222811;19.964064684;1011.7400019
2022-07-18;2022-S29;65 ans ou plus;29.345952093;24.114544084;335.34540577
2022-07-25;2022-S30;15-64 ans;99.54910113;8.0240722166;916.48443451
2022-07-25;2022-S30;Tous âges;83.049779082;25.469190239;761.39579652
2022-08-01;2022-S31;00-04 ans;66.181336863;31.456432841;561.42668428
2022-08-01;2022-S31;Tous âges;71.094113898;20.946120134;791.3606156
2022-08-08;2022-S32;Tous âges;71.676279422;19.28175464;703.97591428
2022-08-15;2022-S33;15-64 ans;95.459698109;20.67397147;1090.5469737
2022-08-22;2022-S34;05-14 ans;106.28361622;0.0;677.91720756
2022-08-22;2022-S34;Tous âges;82.497421956;47.108512021;759.28008999
2022-08-29;2022-S35;05-14 ans;66.870462361;73.502388828;884.84226725
2022-08-29;2022-S35;65 ans ou plus;20.463009699;6.5735414955;271.98549411
2022-09-05;2022-S36;65 ans ou plus;24.41207584;25.919326098;307.87448194
2022-09-19;2022-S38;15-64 ans;148.94917178;51.782513444;2153.2128559
2022-09-19;2022-S38;Tous âges;119.33243519;38.157452914;1615.1046406
2022-09-26;2022-S39;15-64 ans;194.54404761;45.405762404;2569.3752976
2022-09-26;2022-S39;Tous âges;159.21150217;68.113704477;1852.8174645
2022-10-03;2022-S40;65 ans ou plus;56.175658843;40.520984081;988.31985624
2022-10-10;2022-S41;00-04 ans;252.03567274;145.2696568;1022.7663864
2022-10-10;2022-S41;65 ans ou plus;54.510765876;52.939619423;1144.592385
2022-10-17;2022-S42;05-14 ans;330.98162181;280.8002808;2807.1539658
2022-10-24;2022-S43;00-04 ans;312.16790648;255.39160045;986.43078776
2022-11-07;2022-S45;00-04 ans;318.27560472;248.83875249;1372.4864347
2022-11-07;2022-S45;Tous âges;259.17901576;113.27108526;2960.0494465
2022-11-14;2022-S46;00-04 ans;514.53017806;260.02463391;1899.8851455
2022-11-14;2022-S46;15-64 ans;329.92947081;137.44845683;5087.2873769
2022-11-21;2022-S47;15-64 ans;479.59104468;177.15174559;7262.7660322
2022-11-21;2022-S47;Tous âges;524.05099205;221.51377726;5695.0487077
2022-11-28;2022-S48;00-04 ans;1148.400809;578.87120116;4476.2989029
2022-11-28;2022-S48;05-14 ans;2148.9244813;677.73636056;11697.29975
2022-11-28;2022-S48;65 ans ou plus;369.63036963;430.05753472;3241.5983064
2022-12-05;2022-S49;15-64 ans;1678.3092916;830.52167142;17580.2796
2022-12-12;2022-S50;05-14 ans;7171.2641733;4307.793489;28678.16362
2022-12-19;2022-S51;05-14 ans;9783.1444061;5439.005439;28658.536585
2022-12-26;2022-S52;15-64 ans;3546.9081964;2483.4506894;21230.803513
2023-01-09;2023-S02;00-04 ans;3096.1538462;2417.8403756;7292.4457741
2023-01-09;2023-S02;15-64 ans;904.52913185;509.53804691;10491.866192
2023-01-16;2023-S03;00-04 ans;2289.8021491;1829.1322775;5627.2285251
2023-01-16;2023-S03;05-14 ans;1910.5374728;986.94683222;11696.213942
2023-01-23;2023-S04;15-64 ans;905.7128219;536.71728729;10743.009914
2023-01-30;2023-S05;00-04 ans;2697.644574;2389.0015776;5724.1163591
2023-01-30;2023-S05;15-64 ans;1142.7825307;749.5699189;12581.521739
2023-02-06;2023-S06;15-64 ans;1279.6962332;765.51168413;13694.7569
2023-02-06;2023-S06;65 ans ou plus;833.18355714;1195.7074104;3362.5730994
2023-02-13;2023-S07;15-64 ans;1492.2187931;786.8010116;13706.603364
2023-02-13;2023-S07;Tous âges;1748.4788205;1183.5120381;11367.590164
2023-02-20;2023-S08;00-04 ans;2914.0478328;2925.5319149;5911.7164658
2023-02-20;2023-S08;05-14 ans;2460.310625;2158.0229725;11461.531305
2023-02-27;2023-S09;Tous âges;1019.2988041;568.1300319;9155.5804169
2023-03-06;2023-S10;Tous âges;1024.6350285;590.96728096;9769.2053293
2023-03-13;2023-S11;00-04 ans;1872.4910205;1756.954612;4825.3557568
2023-03-13;2023-S11;05-14 ans;1746.3933181;1799.4100295;11471.321696
2023-03-13;2023-S11;15-64 ans;735.92705555;308.67815418;10196.974876
2023-03-13;2023-S11;65 ans ou plus;273.55469833;348.82310119;2731.0412095
2023-03-20;2023-S12;00-04 ans;1719.6582112;1366.353544;3668.5312866
2023-03-20;2023-S12;15-64 ans;683.85940671;293.19781079;9066.8417022
2023-03-20;2023-S12;65 ans ou plus;220.0276976;281.48973026;2103.343465
2023-03-20;2023-S12;Tous âges;807.94337738;412.52123271;7479.3705623
2023-03-27;2023-S13;00-04 ans;1107.6162056;842.945874;3150.486714
2023-04-03;2023-S14;00-04 ans;928.33662064;673.32754127;2359.7477735
2023-04-03;2023-S14;15-64 ans;416.5936761;181.1380193;6231.9256496
2023-04-03;2023-S14;Tous âges;455.93622064;211.95295242;4942.1112097
2023-04-10;2023-S15;Tous âges;410.09126977;176.4588544;4125.9204887
2023-04-17;2023-S16;00-04 ans;500.85782279;246.85816876;1350.5491244
2023-04-17;2023-S16;Tous âges;291.06708461;115.70197607;3423.2814654
2023-04-24;2023-S17;00-04 ans;261.82385382;263.56248627;998.64184709
2023-05-01;2023-S18;05-14 ans;118.20913166;31.887755102;2105.9417643
2023-05-08;2023-S19;05-14 ans;128.25894315;92.392978134;1622.6988043
2023-05-08;2023-S19;15-64 ans;163.30800102;34.904013962;2368.4614878
2023-05-15;2023-S20;00-04 ans;127.74358379;23.557126031;670.213501
2023-05-22;2023-S21;00-04 ans;113.11560995;189.9786274;582.00630507
2023-05-22;2023-S21;15-64 ans;155.19355223;41.650889814;2139.7360241
2023-05-22;2023-S21;65 ans ou plus;66.008977221;53.257589206;674.4651702
2023-05-29;2023-S22;65 ans ou plus;41.739813644;36.877688998;547.44525547
2023-05-29;2023-S22;Tous âges;92.439893557;41.792916101;1224.633888
2023-06-05;2023-S23;00-04 ans;84.495141529;185.52875696;521.4413573
2023-06-05;2023-S23;05-14 ans;83.655339999;48.971596474;921.26588757
2023-06-05;2023-S23;Tous âges;74.723996728;46.388240581;1075.1300352
2023-06-12;2023-S24;00-04 ans;115.05219441;72.621641249;502.06733609
2023-06-12;2023-S24;15-64 ans;92.032671598;25.453619868;1324.8780028
2023-06-19;2023-S25;05-14 ans;91.821481956;26.150627615;1153.0956182
2023-06-19;2023-S25;Tous âges;70.291559543;32.478077298;996.78025221
2023-06-26;2023-S26;Tous âges;64.972814007;28.887672566;959.13031512
2023-07-03;2023-S27;05-14 ans;140.51646429;30.807147258;1005.1694428
2023-07-03;2023-S27;Tous âges;82.616829048;28.966947189;954.47770378
2023-07-10;2023-S28;65 ans ou plus;32.136456338;28.454898985;364.15132511
2023-07-17;2023-S29;15-64 ans;94.756626456;22.71006813;1189.009083
2023-07-24;2023-S30;00-04 ans;84.579470871;0.0;323.35454261
2023-07-24;2023-S30;Tous âges;75.794771081;17.366867175;1075.0860494
2023-07-31;2023-S31;05-14 ans;59.390721073;36.088054854;983.127408
2023-07-31;2023-S31;Tous âges;81.457717179;23.910860313;1158.8110826
2023-08-07;2023-S32;00-04 ans;46.322690992;0.0;364.23009294
2023-08-07;2023-S32;05-14 ans;64.888494245;36.062026686;1285.384171
2023-08-07;2023-S32;15-64 ans;143.01369863;23.321801998;1681.5750753
2023-08-21;2023-S34;15-64 ans;164.7165739;42.309319589;1465.9454686
2023-08-21;2023-S34;Tous âges;122.25959589;40.308202719;1185.1235082
2023-08-28;2023-S35;00-04 ans;79.430860616;149.56625785;518.5526619
2023-08-28;2023-S35;05-14 ans;103.67058671;33.156498674;1062.9599346
2023-09-04;2023-S36;Tous âges;115.95090039;41.681552936;1673.6122242
2023-09-11;2023-S37;05-14 ans;139.92109368;54.083288264;1754.6819639
2023-09-11;2023-S37;65 ans ou plus;46.266193168;30.903303563;921.03785241
2023-09-25;2023-S39;00-04 ans;123.56968094;108.67202782;815.96226175
2023-09-25;2023-S39;05-14 ans;161.53715355;52.164840897;2237.0012092
2023-10-02;2023-S40;00-04 ans;201.75502564;172.19113216;787.44963985
2023-10-02;2023-S40;05-14 ans;145.12872287;0.0;2623.9067055
2023-10-09;2023-S41;Tous âges;188.78907961;70.30229989;2847.6622115
2023-10-16;2023-S42;05-14 ans;171.44374955;29.205607477;2512.6475548
2023-10-16;2023-S42;Tous âges;200.15764878;92.854552049;2764.8669841
2023-10-23;2023-S43;65 ans ou plus;96.148068025;71.83908046;1393.0647424
2023-10-23;2023-S43;Tous âges;202.66877107;74.520003507;2638.3920166
2023-10-30;2023-S44;00-04 ans;202.15305178;147.22119985;958.13251263
2023-10-30;2023-S44;65 ans ou plus;104.49828671;108.36457357;1824.4340434
2023-11-06;2023-S45;05-14 ans;266.00552672;93.808630394;3889.566809
2023-11-06;2023-S45;15-64 ans;249.75411376;74.912273785;5056.4971751
2023-11-06;2023-S45;65 ans ou plus;93.967531745;93.6000936;1429.6226217
2023-11-13;2023-S46;00-04 ans;221.86799931;128.78300064;1702.3774582
2023-11-13;2023-S46;05-14 ans;214.79331856;28.376844495;3696.4709164
2023-11-13;2023-S46;15-64 ans;263.13087925;92.574734812;5471.2768399
2023-11-20;2023-S47;00-04 ans;415.86272783;252.38362311;1778.8846393
2023-11-27;2023-S48;05-14 ans;491.42285116;158.42839037;5278.8679454
2023-11-27;2023-S48;15-64 ans;466.65923283;208.77664913;8047.7489229
2023-11-27;2023-S48;Tous âges;402.17150454;214.98728343;5755.6276576
2023-12-04;2023-S49;00-04 ans;595.67708629;478.13247082;2741.6214
2023-12-04;2023-S49;05-14 ans;601.66067226;281.69014085;6533.129571
2023-12-04;2023-S49;15-64 ans;554.84235949;324.72675432;9283.2701378
2023-12-11;2023-S50;05-14 ans;963.92237326;627.0528516;7757.7687493
2023-12-11;2023-S50;Tous âges;748.10756196;575.46175606;7735.0918548
2023-12-18;2023-S51;05-14 ans;1603.67094;898.01154586;8872.1549088
